Subj,Crse,Credits,Title
CMPS,1044,4,Computer Science I
MATH,1534,4,Pre-Calculus
ENGL,1143,3,Academic Research & Writing (010A)
,,3,Lab Science (030N)
CMPS,1063,3,Data Structures and ADT
CMPS,2084,4,Introduction to Computer Architecture
MATH,1634,4,Calculus I
,,3,Lab Science (030N)
CMPS,2143,3,Object-Oriented Programming
CMPS,2433,3,Discrete Structures and Analysis
MATH,1734,4,Calculus II
HIST,1133,3,American History to 1865 (060N)
,,3,Communications (010B)
CMPS,3013,3,Advanced Structures and Algorithms
CMPS,3023,3,Logic Design
,,3,Social and Behavioral Science (080N)
HIST,1233,3,American History since 1865 (060N)
,,3,Cultural & Global Understanding (090A)
CMPS,4143,3,Contemporary Program Languages
,,3,CMPS Advanced Elective
MATH,2753,3,or 3533 or 4243
PHYS,1624,4,"Mechanics, Wave Motion & Heat"
,,3,"Language, Philosophy & Culture (040N)"
CMPS,3233,3,Theory of Computation
,,3,CMPS Advanced Elective
,,3,CMPS Advanced Elective
PHYS,2644,4,"Electricity, Magnetism, & Optics"
,,3,Elective
CMPS,4103,3,Introduction to Operating Systems
,,3,CMPS Advance Elective
,,3,CMPS Advance Elective
POLS,1333,3,American Government (070N)
,,4,Electives (if needed)
CMPS,4113,3,Software Engineering
,,3,CMPS Advanced Elective
CMPS,4991,1,Seminar
,,3,Creative Arts (050N)
POLS,1433,3,American Government (070N)
